# DOOM II 1MB patch mappings for the GUS - Tom Klok (a344@mindlink.bc.ca)
# Explanation of Columns: Patch#  256K  512K  768K  1024K  PatchName
0,2,1,1,0,acpiano
1,2,1,1,0,britepno
2,2,1,1,0,synpiano
3,2,1,1,6,honky
4,2,1,1,0,epiano1
5,2,1,1,0,epiano2
6,2,1,1,6,hrpschrd
7,2,1,1,6,clavinet
8,12,12,12,14,celeste
9,12,12,12,14,glocken
10,12,12,12,15,musicbox
11,12,12,12,12,vibes
12,12,12,12,12,marimba
13,12,12,12,14,xylophon
14,12,12,12,14,tubebell
15,12,12,12,15,santur
16,2,16,16,6,homeorg
17,2,16,16,6,percorg
18,2,16,16,6,rockorg
19,2,16,16,6,church
20,2,16,16,6,reedorg
21,2,16,16,6,accordn
22,2,16,16,6,harmonca
23,2,16,16,6,concrtna
24,24,24,24,24,nyguitar
25,24,24,24,24,acguitar
26,24,24,24,24,jazzgtr
27,24,24,24,24,cleangtr
28,24,24,24,28,mutegtr
29,29,29,29,29,odguitar
30,29,30,30,30,distgtr
31,29,30,30,30,gtrharm
32,39,32,32,32,acbass
33,39,32,32,33,fngrbass
34,39,32,32,33,pickbass
35,39,32,32,35,fretless
36,39,36,36,37,slapbas1
37,39,36,36,37,slapbas2
38,39,36,36,37,synbass1
39,39,36,36,39,synbass2
40,40,40,40,40,violin
41,40,40,40,40,viola
42,40,42,42,42,cello
43,40,40,40,43,contraba
44,40,40,40,48,tremstr
45,40,40,40,45,pizzcato
46,24,24,46,46,harp
47,47,47,47,47,timpani
48,51,51,48,48,marcato
49,51,51,49,49,slowstr
50,51,51,48,48,synstr1
51,51,51,48,51,synstr2
52,52,52,52,52,choir
53,52,52,52,53,doo
54,52,52,52,54,voices
55,128,128,55,51,orchhit
56,56,56,56,56,trumpet
57,56,56,56,56,trombone
58,56,56,56,56,tuba
59,56,56,56,59,mutetrum
60,56,56,56,60,frenchrn
61,56,56,56,60,hitbrass
62,56,56,56,60,synbras1
63,56,56,56,56,synbras2
64,66,66,64,71,sprnosax
65,66,66,66,71,altosax
66,66,66,66,68,tenorsax
67,66,66,66,70,barisax
68,68,69,69,68,oboe
69,68,69,69,60,englhorn
70,68,69,69,70,bassoon
71,68,69,69,71,clarinet
72,73,73,73,78,piccolo
73,73,73,73,73,flute
74,73,73,73,73,recorder
75,73,73,73,73,woodflut
76,73,73,73,73,bottle
77,73,77,77,73,shakazul
78,73,73,73,78,whistle
79,73,73,73,79,ocarina
80,29,29,29,80,sqrwave
81,29,29,29,51,sawwave
82,73,73,29,51,calliope
83,73,73,29,30,chiflead
84,29,29,29,52,voxlead
85,52,52,29,28,charang
86,52,52,29,51,lead5th
87,52,52,29,87,basslead
88,52,52,88,88,fantasia
89,52,52,29,94,warmpad
90,52,52,29,96,polysyn
91,52,52,29,52,ghostie
92,52,52,29,88,bowglass
93,52,52,29,97,metalpad
94,52,52,29,94,halopad
95,52,52,29,95,sweeper
96,52,52,96,96,aurora
97,52,52,52,97,soundtrk
98,52,52,52,52,crystal
99,52,52,52,94,atmosphr
100,52,52,52,96,freshair
101,52,52,52,95,unicorn
102,52,102,102,96,ghostie
103,52,102,102,94,startrak
104,24,102,102,12,sitar
105,24,105,105,24,banjo
106,24,105,105,12,shamisen
107,24,105,105,12,koto
108,115,115,115,12,kalimba
109,24,69,105,128,bagpipes
110,24,42,42,40,fiddle
111,24,105,105,73,shannai
112,114,114,112,128,carillon
113,114,114,112,128,agogo
114,114,114,114,117,steeldrm
115,115,115,115,117,woodblk
116,115,117,117,117,taiko
117,115,117,117,117,toms
118,115,117,117,118,syntom
119,128,128,128,119,revcym
120,128,128,128,120,fx-fret
121,128,128,128,120,fx-blow
122,128,128,128,121,seashore
123,128,128,128,121,jungle
124,128,128,128,121,telephon
125,128,128,128,121,helicptr
126,128,128,126,121,applause
127,128,128,128,121,ringwhsl
128,128,128,128,128,blank
155,128,128,128,128,highq
156,128,128,128,128,slap
157,128,128,128,128,scratch1
158,128,128,128,128,scratch2
159,159,159,159,128,sticks
160,128,128,128,128,sqrclick
161,128,128,128,128,metclick
162,128,128,128,128,metbell
163,163,163,163,163,kick1
164,164,164,164,164,kick2
165,165,165,165,165,stickrim
166,166,166,166,166,snare1
167,167,167,167,166,claps
168,168,168,168,168,snare2
169,171,169,169,169,tomlo2
170,170,170,170,170,hihatcl
171,171,171,171,171,tomlo1
172,172,172,172,172,hihatpd
173,175,173,173,173,tommid2
174,174,174,174,174,hihatop
175,175,175,175,175,tommid1
176,178,176,176,176,tomhi2
177,181,179,179,177,cymcrsh1
178,178,178,178,178,tomhi1
179,181,179,179,179,cymride1
180,181,179,179,180,cymchina
181,181,179,179,181,cymbell
182,182,182,182,181,tamborin
183,181,179,179,180,cymsplsh
184,128,128,128,184,cowbell
185,181,179,179,177,cymcrsh2
186,128,128,128,197,vibslap
187,181,179,179,187,cymride2
188,178,188,188,188,bongohi
189,175,189,189,188,bongolo
190,175,190,190,190,congahi1
191,175,191,191,191,congahi2
192,171,191,191,192,congalo
193,128,128,128,193,timbaleh
